ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D1301,kye'i rdo rje'i sgrub pa'i thabs,translatorPandita,P3816,,rong zom d+harma b+ha dra,,,
D1302,dpal kye'i rdo rje'i sgrub pa'i thabs kyi man ngag,author,P4CZ10574,,slob dpon chen po shrI A nan+da badzra,,,
D1302,dpal kye'i rdo rje'i sgrub pa'i thabs kyi man ngag,translatorPandita,P4CZ10574,,,,,
D1302,dpal kye'i rdo rje'i sgrub pa'i thabs kyi man ngag,translator,P3816,,,,,
D1303,sbyin sreg gi las kyi rim pa,author,P0AT0007,,rnal 'byor gyi dbang phyug dpal gyi zhabs,,,
D1304,dpal dgyes pa rdo rje la bstod pa,author,?,ToCheck,dpal rin chen rdo rje,,,
D1304,dpal dgyes pa rdo rje la bstod pa,translatorPandita,P4CZ15137,,rgya gar gyi mkhan po ku mA ra ka la sha,,,
D1304,dpal dgyes pa rdo rje la bstod pa,translator,P8168,,lo tsA ba dge slong byang chub shes rab,,,
D1305,bdag med rnal 'byor ma'i sgrub thabs,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D1305,bdag med rnal 'byor ma'i sgrub thabs,translator,P3285,,bod kyi lo tsA ba dge slong shAkya ye shes,,,
