ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D1391,rdo rje'i tshig gi snying po bsdus pa zhes bya ba'i dka' 'grel,translatorPandita,P1518,,,,,
D1392,dpal dus kyi 'khor lo'i rab tu gnas pa'i cho ga zhes bya ba,author,P4CZ15084,,slob dpon dus kyi 'khor lo'i zhabs,,,
D1392,dpal dus kyi 'khor lo'i rab tu gnas pa'i cho ga zhes bya ba,translatorPandita,P4CZ15089,,paN+Di ta wA gI sh+wa ra,,,
D1392,dpal dus kyi 'khor lo'i rab tu gnas pa'i cho ga zhes bya ba,translator,P3146,,chos rab,,,
D1393,dpal dus kyi 'khor lo'i tshogs 'khor gyi cho ga zhes bya ba,author,P4CZ15084,,slob dpon dus 'khor zhabs,,,
D1393,dpal dus kyi 'khor lo'i tshogs 'khor gyi cho ga zhes bya ba,translatorPandita,P4CZ15089,,paN+Di ta wA gI sh+wa ra,,,
D1393,dpal dus kyi 'khor lo'i tshogs 'khor gyi cho ga zhes bya ba,translator,P3146,,chos rab,,,
D1394,dpal dus kyi 'khor lo'i sbyin sreg gi cho ga zhes bya ba,author,P4CZ15084,,slob dpon dus 'khor zhabs,,,
D1394,dpal dus kyi 'khor lo'i sbyin sreg gi cho ga zhes bya ba,translatorPandita,P4CZ15089,,paN+Di ta wA gI sh+wa ra,,,
D1394,dpal dus kyi 'khor lo'i sbyin sreg gi cho ga zhes bya ba,translator,P3146,,chos rab,,,
D1395,phags pa mtshan yang dag par brjod pa'i mdor bshad bdud rtsi'i thigs pa zhes bya ba,author,P4CZ15093,,dngos grub brnyes pa'i slob dpon paN+Di ta chen po gnas brtan nyi ma'i dpal ye shes,,,
D1395,phags pa mtshan yang dag par brjod pa'i mdor bshad bdud rtsi'i thigs pa zhes bya ba,translatorPandita,P7648,,rgya gar gyi mkhan po paN+Di ta chen po nor bu dpal ye shes,,,
D1395,phags pa mtshan yang dag par brjod pa'i mdor bshad bdud rtsi'i thigs pa zhes bya ba,translatorPandita,P3202,,bla ma rje btsun rdo rje 'chang chen po dpal nyi ma'i dbang po'i 'od zer gyi zhal snga nas/_,,,
D1395,phags pa mtshan yang dag par brjod pa'i mdor bshad bdud rtsi'i thigs pa zhes bya ba,translator,P1025,,lo tsA ba chag dge slong chos rje dpal,,,
D1396,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa bdud rtsi'i thigs pa sgron ma gsal ba zhes bya ba,author,P4CZ15101,,rdo rje 'chang gi zhabs kyi rdul la reg pa'i paN+Di ta chen po a nu pa ma rak+Shi ta,,,
D1396,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa bdud rtsi'i thigs pa sgron ma gsal ba zhes bya ba,translatorPandita,P8200,,kha che'i mkhas pa su ga ta shrI,,,
D1396,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa bdud rtsi'i thigs pa sgron ma gsal ba zhes bya ba,translator,P3731,,bod kyi lo tsA ba d+harma kIrti,,,
D1396,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa bdud rtsi'i thigs pa sgron ma gsal ba zhes bya ba,translator,P1046,,dge slong rdo rje rgyal mtshan,,,
D1396,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa bdud rtsi'i thigs pa sgron ma gsal ba zhes bya ba,translationplace,-,,dpal byang ri bkra shis kyi gtsug lag khang,,,
D1397,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i rnam par bshad pa,author,P4CZ15106,,jam dpal gyi sprul pa mi'i dbang po grags pa,,,
D1397,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i rnam par bshad pa,translatorPandita,P1GS147817,,rgya gar gyi mkhan po a b+ha ya badzra,,,
D1397,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i rnam par bshad pa,translator,P4CZ15112,,bod kyi lo tsA ba sbal rdo rje rgyal po,,,
D1398,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa dri ma med pa'i 'od ces bya ba,author,P4CZ15082,,phags pa 'jam dpal gyi TI ka rgyal po pad+ma dkar po,,,
D1398,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa dri ma med pa'i 'od ces bya ba,translator,P4CZ15091,,paN+Di ta chen po dge slong rdo rje 'dzin pa dpal bsod snyoms pa chen po,,,
D1398,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa dri ma med pa'i 'od ces bya ba,translationplace,-,,rig pa'i 'byung gnas yul ma ga d+hA'i dpal na len+d+rar rje btsun ma sgrol ma'i lha khang,,,
D1399,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i phan yon gyi 'grel pa,author,P4CZ15084,,dpal mkhas pa chen po dus kyi 'khor lo ba grags pa,,,
D1399,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i phan yon gyi 'grel pa,translatorPandita,P4CZ15113,,rgya gar gyi mkhan po A tsaR+YA a b+ha ya badzra,,,
D1399,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i phan yon gyi 'grel pa,translator,P4CZ15112,,dge bsnyen rdo rje rgyal po,,,
D1400,phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i mngon par rtogs pa,author,-,,byang chub sems dpa' sems dpa' chen po thugs rje chen po spyan ras gzigs,,,
D1401,dpal 'khor lo sdom pa'i dka' 'grel sgrub pa'i thabs kyi gleng gzhi zhes bya ba,author,P7752,,slob dpon chen po la wa pa,,,
D1401,dpal 'khor lo sdom pa'i dka' 'grel sgrub pa'i thabs kyi gleng gzhi zhes bya ba,translatorPandita,P7048,,rgya gar gyi mkhan po sUr+ya gup+ta,,,
D1401,dpal 'khor lo sdom pa'i dka' 'grel sgrub pa'i thabs kyi gleng gzhi zhes bya ba,translator,P3458,,bod kyi lo tsA ba 'gos lhas btsas,,,
D1402,mngon par brjod pa 'bum pa las phyung ba nyung ngu'i rgyud kyi bsdus pa'i don rnam par bshad pa zhes bya ba,author,P8232,,byang chub sems dpa' chen po phyag na rdo rje,,,
D1402,mngon par brjod pa 'bum pa las phyung ba nyung ngu'i rgyud kyi bsdus pa'i don rnam par bshad pa zhes bya ba,translator,P4CZ10524,,rgya gar gyi mkhan po chen po dpal rab 'byor zhi ba'i zhal snga nas cog gru lo tsA ba dge slong ting nge 'dzin bzang po,,,
D1402,mngon par brjod pa 'bum pa las phyung ba nyung ngu'i rgyud kyi bsdus pa'i don rnam par bshad pa zhes bya ba,translator2,P1052,,shang lo tsA ba dge slong blo gros brtan pa,,,
D1402,mngon par brjod pa 'bum pa las phyung ba nyung ngu'i rgyud kyi bsdus pa'i don rnam par bshad pa zhes bya ba,revisionplace,-,,brag dmar dben sa,,,
D1402,mngon par brjod pa 'bum pa las phyung ba nyung ngu'i rgyud kyi bsdus pa'i don rnam par bshad pa zhes bya ba,translatorPandita,P4CZ15090?,,,,,
D1403,dpal 'khor lo sdom pa'i dka' 'grel zhes bya ba,author,P4CZ10526,,slob dpon mkhas pa chen po b+ha ba b+ha dra'i zhabs,,,
D1403,dpal 'khor lo sdom pa'i dka' 'grel zhes bya ba,translatorPandita,P4CZ15109,,paN chen mkhas pa mi mnyam rdo rje,,,
D1403,dpal 'khor lo sdom pa'i dka' 'grel zhes bya ba,translator,P3731,,khams pa dge slong ba ri rin grags,,,
D1403,dpal 'khor lo sdom pa'i dka' 'grel zhes bya ba,revisionsponsor,-,,naing dang ba ris,,,
D1403,dpal 'khor lo sdom pa'i dka' 'grel zhes bya ba,revisionplace,-,,bal yul grong khyer mam bu ru/_/pan tu ba ro'i lha khang,,,
D1404,rin po che'i tshogs zhes bya ba'i dka' 'grel,author,P3287,,slob dpon chen po dpal dka' rgyal mi thub zla ba,,,
D1404,rin po che'i tshogs zhes bya ba'i dka' 'grel,translatorPandita,P4CZ15107,,rgya gar gyi mkhan po tA ra kla shu,,,
D1404,rin po che'i tshogs zhes bya ba'i dka' 'grel,translator,P4CZ15111,,bod kyi lo tsA ba dge slong gu Na shrI,,,
D1405,dpal 'khor lo sdom pa'i dka' 'grel dpa' bo'i yid du 'ong ba zhes bya ba,author,P4CZ15114,,slob dpon chen po skal ldan grags pa,,,
D1405,dpal 'khor lo sdom pa'i dka' 'grel dpa' bo'i yid du 'ong ba zhes bya ba,translatorPandita,P8171,,rgya gar gyi mkhan po d+harma shrI b+ha dra,,,
