D0001,'dul ba,2438
D0002,'dul ba,39
D0003,'dul ba,2223
D0004,'dul ba,48
D0005,'dul ba,606
D0006,'dul ba,1282
D0007,'dul ba,182
D0007a,'dul ba,1044
D0008,'bum,9420
D0009,nyi khri,2306
D0010,khri brgyad,1614
D0011,khri pa,972
D0012,brgyad stong,570
D0013,sher phyin,37
D0014,sher phyin,168
D0015,sher phyin,34
D0016,sher phyin,24
D0017,sher phyin,14
D0018,sher phyin,6
D0019,sher phyin,4
D0020,sher phyin,3
D0021,sher phyin,4
D0022,sher phyin,4
D0023,sher phyin,1
D0024,sher phyin,53
D0025,sher phyin,4
D0026,sher phyin,3
D0027,sher phyin,3
D0028,sher phyin,2
D0029,sher phyin,2
D0030,sher phyin,2
D0031,sher phyin,6
D0032,sher phyin,135
D0033,sher phyin,20
D0034,sher phyin,8
D0035,sher phyin,15
D0036,sher phyin,2
D0037,sher phyin,11
D0038,sher phyin,7
D0039,sher phyin,6
D0040,sher phyin,2
D0041,sher phyin,2
D0042,sher phyin,2
D0043,sher phyin,3
D0044,phal chen,3088
D0045,dkon brtsegs,88
D0046,dkon brtsegs,109
D0047,dkon brtsegs,207
D0048,dkon brtsegs,69
D0049,dkon brtsegs,66
D0050,dkon brtsegs,138
D0051,dkon brtsegs,140
D0052,dkon brtsegs,48
D0053,dkon brtsegs,42
D0054,dkon brtsegs,22
D0055,dkon brtsegs,121
D0056,dkon brtsegs,487
D0057,dkon brtsegs,65
D0058,dkon brtsegs,23
D0059,dkon brtsegs,96
D0060,dkon brtsegs,334
D0061,dkon brtsegs,118
D0062,dkon brtsegs,61
D0063,dkon brtsegs,63
D0064,dkon brtsegs,33
D0065,dkon brtsegs,38
D0066,dkon brtsegs,64
D0067,dkon brtsegs,94
D0068,dkon brtsegs,33
D0069,dkon brtsegs,46
D0070,dkon brtsegs,54
D0071,dkon brtsegs,26
D0072,dkon brtsegs,22
D0073,dkon brtsegs,23
D0074,dkon brtsegs,13
D0075,dkon brtsegs,8
D0076,dkon brtsegs,31
D0077,dkon brtsegs,42
D0078,dkon brtsegs,11
D0079,dkon brtsegs,37
D0080,dkon brtsegs,101
D0081,dkon brtsegs,6
D0082,dkon brtsegs,82
D0083,dkon brtsegs,48
D0084,dkon brtsegs,20
D0085,dkon brtsegs,25
D0086,dkon brtsegs,6
D0087,dkon brtsegs,65
D0088,dkon brtsegs,48
D0089,dkon brtsegs,15
D0090,dkon brtsegs,55
D0091,dkon brtsegs,90
D0092,dkon brtsegs,46
D0093,dkon brtsegs,43
D0094,mdo sde,678
D0095,mdo sde,431
D0096,mdo sde,50
D0097,mdo sde,32
D0098,mdo sde,41
D0099,mdo sde,549
D0100,mdo sde,59
D0101,mdo sde,451
D0102,mdo sde,94
D0103,mdo sde,22
D0104,mdo sde,3
D0105,mdo sde,4
D0106,mdo sde,109
D0107,mdo sde,272
D0108,mdo sde,186
D0109,mdo sde,15
D0110,mdo sde,109
D0111,mdo sde,146
D0112,mdo sde,337
D0113,mdo sde,359
D0114,mdo sde,30
D0115,mdo sde,10
D0116,mdo sde,96
D0117,mdo sde,85
D0118,mdo sde,16
D0119,mdo sde,1360
D0120,mdo sde,300
D0121,mdo sde,4
D0122,mdo sde,2
D0123,mdo sde,119
D0124,mdo sde,160
D0125,mdo sde,1
D0126,mdo sde,7
D0127,mdo sde,339
D0128,mdo sde,8
D0129,mdo sde,73
D0130,mdo sde,41
D0131,mdo sde,47
D0132,mdo sde,127
D0133,mdo sde,139
D0134,mdo sde,103
D0135,mdo sde,46
D0136,mdo sde,70
D0137,mdo sde,18
D0138,mdo sde,181
D0139,mdo sde,24
D0140,mdo sde,20
D0141,mdo sde,3
D0142,mdo sde,11
D0143,mdo sde,1
D0144,mdo sde,56
D0145,mdo sde,97
D0146,mdo sde,120
D0147,mdo sde,202
D0148,mdo sde,175
D0149,mdo sde,2
D0150,mdo sde,2
D0151,mdo sde,26
D0152,mdo sde,229
