,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0013,phags pa shes rab kyi pha rol tu phyin pa sdud pa tshigs su bcad pa,translatorPandita,P8213,,rgya gar gyi mkhan po bid+yA ka ra sing ha,,,
D0013,phags pa shes rab kyi pha rol tu phyin pa sdud pa tshigs su bcad pa,translator,P8182,,zhu chen gyi lots+tsha ba ban de dpal brtsegs,,,
D0014,phags pa rab kyi rtsal gyis rnam par gnon pas zhus pa shes rab kyi pha rol tu phyin pa bstan pa,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0014,phags pa rab kyi rtsal gyis rnam par gnon pas zhus pa shes rab kyi pha rol tu phyin pa bstan pa,translatorPandita,P8209,,dzi na mi tra,,,
D0014,phags pa rab kyi rtsal gyis rnam par gnon pas zhus pa shes rab kyi pha rol tu phyin pa bstan pa,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0021,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,translatorPandita,P5011,,rgya gar gyi mkhan po bi ma la mi tra,,,
D0021,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,translator,P1256,,lots+tsha ba dge slong rin chen sde,,,
D0021,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,revisor2,P1242,,zhu chen gyi lo ts+tsha ba dge blo,,,
D0021,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,revisor,P4260,,nam mkha',,,
D0021,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,translationplace,-,,dpal bsam yas lhun gyis grub pa'i gtsug lag gi dge rgyas bye ma gling gi rtsig ngos,,,
D0031,chos kyi 'khor lo rab tu bskor ba'i mdo,translator,P2147,,lo ts+tsha ba shAkya'i dge slong nyi ma rgyal mtshan,,,
D0031,chos kyi 'khor lo rab tu bskor ba'i mdo,translatorPandita,P0AT0092,,paN+Di ta chen po A nan+da shrI,,,
D0031,chos kyi 'khor lo rab tu bskor ba'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0032,skyes pa rabs kyi gleng gzhi,translator,P2147,,lots+tsha ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0032,skyes pa rabs kyi gleng gzhi,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0032,skyes pa rabs kyi gleng gzhi,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0033,lcang lo can gyi pho brang gi mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0033,lcang lo can gyi pho brang gi mdo,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0033,lcang lo can gyi pho brang gi mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0034,dus pa chen po'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0034,dus pa chen po'i mdo,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0034,dus pa chen po'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0035,byams pa'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0035,byams pa'i mdo,translatorPandita,P0AT0092,,paN+Di ta chen po A ran+da shrI,,,
D0035,byams pa'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0036,byams pa bsgom pa'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0036,byams pa bsgom pa'i mdo,translatorPandita,P0AT0092,,paN+Di ta chen po A ran+da shrI,,,
