,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0159,phags pa tshangs pas byin gyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0160,phags pa tshangs pa khyad par sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0275,,rgya gar gyi mkhan po shAkya pra b+ha,,,
D0160,phags pa tshangs pa khyad par sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0297,,d+harma pA la,,,
D0160,phags pa tshangs pa khyad par sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0160,phags pa tshangs pa khyad par sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8266,,zhu chen gyi lo tsA ba ban+de d+harma tA shI la,,,
D0161,phags pa lha'i bu rab rtsal sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA warma,,,
D0161,phags pa lha'i bu rab rtsal sems kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0162,phags pa dpal dbyig gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0162,phags pa dpal dbyig gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0162,phags pa dpal dbyig gis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0163,phags pa rin chen dra ba can gyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar b+ha,,,
D0163,phags pa rin chen dra ba can gyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P4255,,lots+tsha ba ban+de ye shes snying po,,,
D0163,phags pa rin chen dra ba can gyis zhus pa zhes bya ba theg pa chen po'i mdo,revisor,P8182,,zhus chen gyi lots+tsha ba ban+de dpal brtsegs,,,
D0164,phags pa rin chen zla bas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud+d+ha sing ha,,,
D0164,phags pa rin chen zla bas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P4263,,lots+tsha ba ban+de dge ba dpal,,,
D0164,phags pa rin chen zla bas zhus pa zhes bya ba theg pa chen po'i mdo,revisor,P8220,,zhu chen gyi lots+tsha ba ban+de de ba tsan dra,,,
D0165,phags pa bde byed kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0165,phags pa bde byed kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0166,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0166,phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0167,phags pa rnam par 'phrul pa'i rgyal pos zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0167,phags pa rnam par 'phrul pa'i rgyal pos zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0169,phags pa theg pa chen po'i man ngag ces bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0169,phags pa theg pa chen po'i man ngag ces bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0169,phags pa theg pa chen po'i man ngag ces bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0170,phags pa bram ze mo dpal ldan mas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0170,phags pa bram ze mo dpal ldan mas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0170,phags pa bram ze mo dpal ldan mas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0171,phags pa bgres mos zhus pa zhes bya,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0171,phags pa bgres mos zhus pa zhes bya,translatorPandita,P8210,,dA na shI la,,,
D0171,phags pa bgres mos zhus pa zhes bya,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0173,phags pa bdag med pa dris pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8093,,rgya gar gyi mkhan po ka ma la gub ta,,,
D0173,phags pa bdag med pa dris pa zhes bya ba theg pa chen po'i mdo,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0175,phags pa blo gros mi zad pas bstan pa zhes bya ba theg pa chen po'i mdo,revisor,P8266,,zhu chen gyi lots+tsha ba ban de d+harma tA shI la,,,
D0176,phags pa dri ma med par grags pas bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8266,,lo ts+tsha ba ban de chos nyid tshul khrims,,,
D0177,phags pa 'jam dpal gyis bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0177,phags pa 'jam dpal gyis bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0178,phags pa byang chub kyi phyogs bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0178,phags pa byang chub kyi phyogs bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0178,phags pa byang chub kyi phyogs bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0179,phags pa kun rdzob dang don dam pa'i bden pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0275,,rgya gar gyi mkhan po shAkya pra b+hA,,,
D0179,phags pa kun rdzob dang don dam pa'i bden pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0179,phags pa kun rdzob dang don dam pa'i bden pa bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8266,,zhu chen gyi lo ts+tsha ba ban de d+harma tA shI la,,,
D0180,phags pa chos thams cad 'byung ba med par bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8273,,lo ts+tsha ba ban de rin chen 'tsho,,,
D0181,phags pa pha rol tu phyin pa lnga bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0181,phags pa pha rol tu phyin pa lnga bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0182,phags pa sbyin pa'i pha rol tu phyin pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0182,phags pa sbyin pa'i pha rol tu phyin pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0183,phags pa sbyin pa'i phan yon bstan pa,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0183,phags pa sbyin pa'i phan yon bstan pa,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0184,phags pa byang chub sems dpa'i spyod pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0184,phags pa byang chub sems dpa'i spyod pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA warma,,,
D0184,phags pa byang chub sems dpa'i spyod pa bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0185,phags pa de bzhin gshegs pa'i yon tan dang ye shes bsam gyis mi khyab pa'i yul la 'jug pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0185,phags pa de bzhin gshegs pa'i yon tan dang ye shes bsam gyis mi khyab pa'i yul la 'jug pa bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0188,phags pa mar me mdzad kyis lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud+d+ha sing ha,,,
D0188,phags pa mar me mdzad kyis lung bstan pa zhes bya ba theg pa chen po'i mdo,translator,P4263,,lots+tsha ba ban de dge dpal,,,
D0188,phags pa mar me mdzad kyis lung bstan pa zhes bya ba theg pa chen po'i mdo,revisor,P8183,,zhu chen gyi lots+tsha ba ban de klu'i rgyal mtshan,,,
D0189,phags pa tshangs pa'i dpal lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud+d+ha sid+ha,,,
D0189,phags pa tshangs pa'i dpal lung bstan pa zhes bya ba theg pa chen po'i mdo,translator,P4263,,lots+tsha ba ban de dge ba dpal,,,
D0189,phags pa tshangs pa'i dpal lung bstan pa zhes bya ba theg pa chen po'i mdo,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban de de ba tsan+d+ra,,,
D0190,phags pa bud med 'gyur ba lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0190,phags pa bud med 'gyur ba lung bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D0190,phags pa bud med 'gyur ba lung bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0191,phags pa bu mo zla mchog lung bstan pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0195,phags pa spyan ras gzigs zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0195,phags pa spyan ras gzigs zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0195,phags pa spyan ras gzigs zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0196,phags pa 'jam dpal gnas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0196,phags pa 'jam dpal gnas pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0197,phags pa bdud rtsi brjod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0197,phags pa bdud rtsi brjod pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0198,phags pa byams pa 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA warma,,,
D0198,phags pa byams pa 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0198,phags pa byams pa 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0198,phags pa byams pa 'jug pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0199,phags pa byang chub sems dpa' byams pa dga' ldan gnam du skye ba blangs pa'i mdo,translator,P0AT0095,,zhu ba'i lots+tsha ba ban de pa ba tong,,,
D0199,phags pa byang chub sems dpa' byams pa dga' ldan gnam du skye ba blangs pa'i mdo,translator,P2139,,ban de shes rab seng ge,,,
D0200,phags pa 'jig rten gyi rjes su 'thun par 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra da,,,
D0200,phags pa 'jig rten gyi rjes su 'thun par 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0200,phags pa 'jig rten gyi rjes su 'thun par 'jug pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0201,phags pa dad pa'i stobs bskyed pa la 'jug pa'i phyag rgya zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0201,phags pa dad pa'i stobs bskyed pa la 'jug pa'i phyag rgya zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0202,phags pa nges pa dang ma nges par 'gro ba'i phyag rgya la 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0202,phags pa nges pa dang ma nges par 'gro ba'i phyag rgya la 'jug pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0202,phags pa nges pa dang ma nges par 'gro ba'i phyag rgya la 'jug pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0203,phags pa chos kyi phyag rgya zhes bya ba theg pa chen po'i mdo,translator,P8218,,lots+tsha ba ban de klu'i dbang po,,,
D0203,phags pa chos kyi phyag rgya zhes bya ba theg pa chen po'i mdo,translator,P8220,to check,lha'i zla ba,,,
D0204,phags pa mar me 'bul ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nya barma,,,
D0204,phags pa mar me 'bul ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0205,phags pa grong khyer gyis 'tsho ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0205,phags pa grong khyer gyis 'tsho ba zhes bya ba theg pa chen po'i mdo,translator,P8218,,lo ts+tsha ba ban de klu'i dbang po,,,
D0205,phags pa grong khyer gyis 'tsho ba zhes bya ba theg pa chen po'i mdo,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban de de ba tsan dra,,,
D0208,phags pa sgra chen po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud d+ha sing ha,,,
D0208,phags pa sgra chen po zhes bya ba theg pa chen po'i mdo,translator,P4263,,lo ts+tsha ba ban de dge ba dpal,,,
D0208,phags pa sgra chen po zhes bya ba theg pa chen po'i mdo,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban de de ba tsan dra,,,
D0209,phags pa seng ge'i sgra bsgrags pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8213,,rgya gar gi mkhan po bid+yA ka ra sing ha,,,
D0209,phags pa seng ge'i sgra bsgrags pa zhes bya ba theg pa chen po'i mdo,translator,P4255,,lo ts+tsha ba ban de sba rje ye shes snying po,,,
D0212,phags pa rten cing 'brel par 'byung ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0212,phags pa rten cing 'brel par 'byung ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0213,phags pa sor mo'i phreng ba la phan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ16819,,rgya gar gyi mkhan po shAkya pra b+ha,,,
D0213,phags pa sor mo'i phreng ba la phan pa zhes bya ba theg pa chen po'i mdo,translator,P8266,,zhu chen gyi lots+tsha ba ban de d+harma tA shI la,,,
D0213,phags pa sor mo'i phreng ba la phan pa zhes bya ba theg pa chen po'i mdo,revisorPandita,P0AT0096,,rgya'i lo ts+tsha ba ban de tong A tsar+ya,,,
D0214,rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
D0214,rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,ban de ye shes sde,,,
D0215,rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
D0215,rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,ban de ye shes sde,,,
D0217,phags pa dpal sbas zhes bya ba'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0217,phags pa dpal sbas zhes bya ba'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0217,phags pa dpal sbas zhes bya ba'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0218,phags pa las kyi sgrib pa rnam par dag pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0218,phags pa las kyi sgrib pa rnam par dag pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0218,phags pa las kyi sgrib pa rnam par dag pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0219,phags pa las kyi sgrib pa rgyun gcod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0219,phags pa las kyi sgrib pa rgyun gcod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0219,phags pa las kyi sgrib pa rgyun gcod pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0220,sangs rgyas kyi sde snod tshul khrims 'chal pa tshar gcod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8574,,rgya gar gyi mkhan po d+harma shrI pra b+ha,,,
D0220,sangs rgyas kyi sde snod tshul khrims 'chal pa tshar gcod pa zhes bya ba theg pa chen po'i mdo,translator,P4259,,lo tsA ba dge slong dpal gyi lhun po,,,
D0220,sangs rgyas kyi sde snod tshul khrims 'chal pa tshar gcod pa zhes bya ba theg pa chen po'i mdo,translationplace,-,,pho brang lhan dkar du bsgyur,,,
D0221,phags pa rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0221,phags pa rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D0221,phags pa rgyal po la gdams pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0222,phags pa rnga bo che chen po'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha ba,,,
D0222,phags pa rnga bo che chen po'i le'u zhes bya ba theg pa chen po'i mdo,translator,P4259,,lo tsA ba ban de dpal gyi lhun po,,,
D0222,phags pa rnga bo che chen po'i le'u zhes bya ba theg pa chen po'i mdo,revisor,P8182,,zhu chen gyi lo tsa ba ban de dpal brtsegs,,,
D0223,phags pa sum cu rtsa gsum pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0223,phags pa sum cu rtsa gsum pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0224,phags pa lhag pa'i bsam pa brtan pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0224,phags pa lhag pa'i bsam pa brtan pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pra dz+nyA bar ma,,,
D0224,phags pa lhag pa'i bsam pa brtan pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0225,phags pa gsum la skyabs su 'gro ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nya de ba,,,
D0225,phags pa gsum la skyabs su 'gro ba zhes bya ba theg pa chen po'i mdo,translator,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0226,phags pa srid pa 'pho ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0226,phags pa srid pa 'pho ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0226,phags pa srid pa 'pho ba zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0227,phags pa rnam par 'thag pa thams cad bsdus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0227,phags pa rnam par 'thag pa thams cad bsdus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni bar ma,,,
D0227,phags pa rnam par 'thag pa thams cad bsdus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0228,phags pa sangs rgyas bgro ba zhes bya ba theg pa chen po'i mdo,translator,P8260,,lo ts+tsha ba ban de dpal dbyangs,,,
D0228,phags pa sangs rgyas bgro ba zhes bya ba theg pa chen po'i mdo,translator,P8182,,dpal brtsegs,,,
D0229,de bzhin gshegs pa bgro ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar b+ha,,,
D0229,de bzhin gshegs pa bgro ba zhes bya ba theg pa chen po'i mdo,translator,P8260,,lo ts+tsha ba ban de dpal gyi dbyangs,,,
D0229,de bzhin gshegs pa bgro ba zhes bya ba theg pa chen po'i mdo,revisor,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0230,dus pa chen po theg pa chen po'i mdo sde las de bzhin gshegs pa'i dpal gyi dam tshig ces bya ba theg pa chen po'i mdo,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de ba,,,
D0230,dus pa chen po theg pa chen po'i mdo sde las de bzhin gshegs pa'i dpal gyi dam tshig ces bya ba theg pa chen po'i mdo,translator,P8182,,zhu chen gyi lo tsA ba ban de dpal brtsegs,,,
D0231,phags pa dkon mchog sprin ces bya ba theg pa chen po'i mdo,translator,P8273,,lo ts+tsha ba ban de rin chen 'tsho,,,
D0231,phags pa dkon mchog sprin ces bya ba theg pa chen po'i mdo,translator,P8266,,chos nyid tshul khrims,,,
D0232,phags pa sprin chen po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0232,phags pa sprin chen po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0233,phags pa sprin chen po'i mdo las phyogs bcu'i byang chub sems dpa' rgya mtsho 'dus pa'i dga' ston chen po la rtse ba zhes bya ba'i le'u,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0233,phags pa sprin chen po'i mdo las phyogs bcu'i byang chub sems dpa' rgya mtsho 'dus pa'i dga' ston chen po la rtse ba zhes bya ba'i le'u,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0234,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra da,,,
D0234,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D0234,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0235,phags pa sprin chen po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0235,phags pa sprin chen po,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0235,phags pa sprin chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+deye shes sde,,,
D0238,phags pa chos yang dag par sdud pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ16780,,rgya gar gyi mkhan po many+dzu shrI gar+b+ha,,,
D0238,phags pa chos yang dag par sdud pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8267,,bi dza ya shI la,,,
D0238,phags pa chos yang dag par sdud pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0238,phags pa chos yang dag par sdud pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0239,dus pa chen po las sa'i snying po'i 'khor lo bcu pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0080,,rgya'i mkhan po hwa shang zab mo,,,
D0239,dus pa chen po las sa'i snying po'i 'khor lo bcu pa zhes bya ba theg pa chen po'i mdo,translator,P0AT1007,,zhu chen gyi lo tsa ba ban de rnam par mi rtog,,,
D0240,phags pa phyir mi ldog pa'i 'khor lo zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0240,phags pa phyir mi ldog pa'i 'khor lo zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,da na shI la,,,
D0240,phags pa phyir mi ldog pa'i 'khor lo zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ne bar ma,,,
D0240,phags pa phyir mi ldog pa'i 'khor lo zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0242,phags pa yongs su bsngo ba'i 'khor lo zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT1007,,rgya gar gyi d+harma rgya'i yi ge las ban de rnam par mi rtog,,,
D0244,phags pa chos kyi tshul zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0244,phags pa chos kyi tshul zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0245,phags pa chos kyi phung po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0245,phags pa chos kyi phung po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0246,phags pa don dam pa'i chos kyis rnam par rgyal ba zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
